SUBURB,POBOX,SUBURBCODE,CITY
AMBERGATE,780,,PIETERSBURG
AMERSFOORT,2490,2490,-
AMERVILLE,,6960,FRASERBURG
AMSTELHOF,,7646,PAARL
AMSTERDAM,2375,,MPUMALANGA
AMSTERDAMHOEK,,6210,SWARTKOPS
ANCHORAGE,4960,,BUTTERWORTH
ANCHORAGE PARK,,7140,GORDON'S BAY
ANDALUSIA PARK,8550,,JAN KEMPDORP
ANDE,5090,,MOUNT FRERE
ANERLEY,4230,,-
ANNADALE,,699,PIETERSBURG
ANNANDALE,3080,,DANNHAUSER
ANNANDALE VILLAGE,,7441,MILNERTON
ANNATY BANK,,7945,TOKAI
ANNEX PARK,1402,,GERMISTON
ANNIEVILLE,3080,,DANNHAUSER
ANNLIN,66,182,PRETORIA NORTH
ANNLIN EXT 1,,182,PRETORIA NORTH
ANNLIN EXT 13,,182,PRETORIA NORTH
ANNLIN EXT 15,,182,PRETORIA NORTH
ANNLIN EXT 18,,182,PRETORIA NORTH
ANNLIN EXT 19,,182,PRETORIA NORTH
ANNLIN EXT 2,,182,PRETORIA NORTH
ANNLIN EXT 3,,182,PRETORIA NORTH
ANNLIN EXT 32,,182,PRETORIA NORTH
ANNLIN EXT 33,,182,PRETORIA NORTH
ANNLIN EXT 35,,182,PRETORIA NORTH
ANNLIN EXT 36,,182,PRETORIA NORTH
ANNLIN EXT 37,,182,PRETORIA NORTH
ANNLIN EXT 4,,182,PRETORIA NORTH
ANNLIN EXT 5,,182,PRETORIA NORTH
ANNLIN EXT 6,,182,PRETORIA NORTH
ANNLIN EXT 7,,182,PRETORIA NORTH
ANNLIN EXT 8,,182,PRETORIA NORTH
ANNLIN UIT 1,,182,PRETORIA-NOORD
ANNLIN UIT 13,,182,PRETORIA-NOORD
ANNLIN UIT 15,,182,PRETORIA-NOORD
ANNLIN UIT 18,,182,PRETORIA-NOORD
ANNLIN UIT 19,,182,PRETORIA-NOORD
ANNLIN UIT 2,,182,PRETORIA-NOORD
ANNLIN UIT 3,,182,PRETORIA-NOORD
ANNLIN UIT 32,,182,PRETORIA-NOORD
ANNLIN UIT 33,,182,PRETORIA-NOORD
ANNLIN UIT 35,,182,PRETORIA-NOORD
ANNLIN UIT 36,,182,PRETORIA-NOORD
ANNLIN UIT 37,,182,PRETORIA-NOORD
ANNLIN UIT 4,,182,PRETORIA-NOORD
ANNLIN UIT 5,,182,PRETORIA-NOORD
ANNLIN UIT 6,,182,PRETORIA-NOORD
ANNLIN UIT 7,,182,PRETORIA-NOORD
ANNLIN UIT 8,,182,PRETORIA-NOORD
ANSFRERE,1711,1709,FLORIDA
ANZAC,,1541,BRAKPAN
ANZAC EXT 2,1540,1541,BRAKPAN
ANZAC UIT 2,1540,1541,BRAKPAN
APEL,739,,PIETERSBURG
APEX CAFE,1519,,DAVEYTON
APEX INDUSTRIAL,1540,,BRAKPAN
APPLE ORCHARDS SIHS,1876,,WALKERVILLE
APPLE PARK,,1739,KRUGERSDORP
AQUADEN,3900,,RICHARDS BAY
AQUADENE,,3900,RICHARDS BAY
AQUAPARK,850,850,TZANEEN
ARABIEDAM,464,464,MARBLE HALL
ARAUNA,,7560,BRACKENFELL
ARBEX,3904,,RICHARDS BAY
ARBOR PARK,2954,,NEWCASTLE
ARBORETUM,9305,9301,BLOEMFONTEIN
ARBORETUM,3900,,RICHARDS BAY
ARBORETUM EXT,3900,,RICHARDS BAY
ARBORETUM UIT,3900,,RICHARDSBAAI
ARBORPARK,850,850,TZANEEN
ARCADIA,,5201,EAST LONDON
ARCADIA,,6300,HUMANSDORP
ARCADIA,,6059,PORT ELIZABETH
ARCADIA,7,83,PRETORIA
ARCADIA CENTRE,,7570,KRAAIFONTEIN
ARCON PARK,1937,1939,VEREENIGING
ARCON PARK EXT 1,,1939,VEREENIGING
ARCON PARK UIT 1,,1939,VEREENIGING
ARDLEIGH PARK,,7945,RETREAT
AREA AL,,7785,MITCHELLS PLAIN
AREA SST,,7784,KHAYELITSHA
AREEN,,2745,MAFIKENG
ARENA PARK,,4092,CHATSWORTH
ARENDSDALE,7353,,ATLANTIS
ARGYLE,,2001,JOHANNESBURG
ARLINGTON,9602,,-
ARMADALE,2013,,JOHANNESBURG
ARNOLDTON,,5247,EAST LONDON
ARNOT,1051,,MIDDELBURG
ARNOT COLLIERY,1097,,WITBANK
ASANDE,3227,,IMPENDLE
ASCOT VILLAGE,,7780,LANSDOWNE
ASHBURNHAM,,8301,KIMBERLEY
ASHBURTON,3213,,PIETERMARITZBURG
ASHBURY,,6720,MONTAGU
ASHDOWN,3216,3201,PIETERMARITZBURG
ASHERVILLE,,4091,DURBAN
ASHERVILLE,,6281,GRAAFF-REINET
ASHLEA GARDENS,,81,MENLO PARK
ASHLEY,,3610,PINETOWN
ASHTON,6715,6715,-
ASHWOOD,3605,3610,PINETOWN
ASIATIC BAZAAR,,183,PRETORIA WEST
ASIATIC EXT,1300,,BARBERTON
ASIATIC EXT 1,1300,,BARBERTON
ASIATIC UIT,1300,,BARBERTON
ASIATIC UIT 1,1300,,BARBERTON
ASKEATON,5413,,-
ASKHAM,8814,8814,-
ASKRAAL,6667,,HEIDELBERG WC
ASPEN HEIGHTS,,6059,PORT ELIZABETH
ASSAGAI,3624,,PINETOWN
ASTON BAY,6332,,JEFFREYS BAY
ASTON MANOR,1630,1619,KEMPTON PARK
ASTONBAAI,6332,,JEFFREYSBAAI
ATAMELANG,2732,2732,-
ATHENA GARDENS,,4037,DURBAN
ATHLONE,7760,7764,CAPE TOWN
ATHLONE,,4051,DURBAN NORTH
ATHLONE,,3201,PIETERMARITZBURG
ATHLONE PARK,,4126,AMANZIMTOTI
ATHOLHURST,,2196,JOHANNESBURG
ATHOLL,,2196,JOHANNESBURG
ATHOLL EXT 10,2031,,JOHANNESBURG
ATHOLL EXT 11,2031,,JOHANNESBURG
ATHOLL EXT 12,2031,,JOHANNESBURG
ATHOLL EXT 15,2031,,JOHANNESBURG
ATHOLL EXT 17,2031,,JOHANNESBURG
ATHOLL EXT 18,2031,,JOHANNESBURG
ATHOLL EXT 2,2031,,JOHANNESBURG
ATHOLL EXT 20,2031,,JOHANNESBURG
ATHOLL EXT 23,2031,,JOHANNESBURG
ATHOLL EXT 24,2031,,JOHANNESBURG
ATHOLL EXT 34,2031,,JOHANNESBURG
ATHOLL EXT 36,2031,,JOHANNESBURG
ATHOLL EXT 4,,2196,JOHANNESBURG
ATHOLL EXT 5,2031,,JOHANNESBURG
ATHOLL EXT 6,2031,,JOHANNESBURG
ATHOLL EXT 7,,2196,JOHANNESBURG
ATHOLL EXT 9,2031,,JOHANNESBURG
ATHOLL GARDENS,,2196,JOHANNESBURG
ATHOLL HEIGHTS,,3629,WESTVILLE
ATHOLL UIT 10,2031,,JOHANNESBURG
ATHOLL UIT 11,2031,,JOHANNESBURG
ATHOLL UIT 12,2031,,JOHANNESBURG
ATHOLL UIT 15,2031,,JOHANNESBURG
ATHOLL UIT 17,2031,,JOHANNESBURG
ATHOLL UIT 18,2031,,JOHANNESBURG
ATHOLL UIT 2,2031,,JOHANNESBURG
ATHOLL UIT 20,2031,,JOHANNESBURG
ATHOLL UIT 23,2031,,JOHANNESBURG
ATHOLL UIT 24,2031,,JOHANNESBURG
ATHOLL UIT 34,2031,,JOHANNESBURG
ATHOLL UIT 36,2031,,JOHANNESBURG
ATHOLL UIT 4,,2196,JOHANNESBURG
ATHOLL UIT 5,2031,,JOHANNESBURG
ATHOLL UIT 6,2031,,JOHANNESBURG
ATHOLL UIT 7,,2196,JOHANNESBURG
ATHOLL UIT 9,2031,,JOHANNESBURG
ATLANTA,267,,BRITS
ATLANTIS,,7349,DASSENBERG
ATLANTIS EXT 12,,7349,DASSENBERG
ATLANTIS EXT 13,,7349,DASSENBERG
ATLANTIS UIT 13,,7349,DASSENBERG
ATLANTIS UIT12,,7349,DASSENBERG
ATLASPARK,1465,,-
ATLASVILLE,1465,1459,BOKSBURG
ATLASVILLE EXT 1,,1459,BOKSBURG
ATLASVILLE EXT 2,,1459,BOKSBURG
ATLASVILLE UIT 1,,1459,BOKSBURG
ATLASVILLE UIT 2,,1459,BOKSBURG
ATOK,749,,PIETERSBURG
