SUBURB,POBOX,SUBURBCODE,CITY
DOORNFONTEIN-NOORD,,2094,JOHANNESBURG
DOORNHOEK,3370,,LADYSMITH
DOORNHOOGTE,,7764,GATESVILLE
DOORNKLOOF,,7310,MOORREESBURG
DOORNKOP,1821,,LENASIA
DOORNKOP,1723,,ROODEPOORT
DOORNPARK,17,,DOORNPOORT
DOORNPOORT,17,,PRETORIA
DOORNPOORT EXT 1,17,,DOORNPOORT
DOORNPOORT EXT 2,17,,PRETORIA
DOORNPOORT EXT 29,17,,DOORNPOORT
DOORNPOORT EXT 30,17,,DOORNPOORT
DOORNPOORT EXT 31,17,,DOORNPOORT
DOORNPOORT EXT 32,17,,DOORNPOORT
DOORNPOORT EXT 33,17,,DOORNPOORT
DOORNPOORT EXT 34,17,,DOORNPOORT
DOORNPOORT EXT 6,17,,DOORNPOORT
DOORNPOORT UIT 1,17,,DOORNPOORT
DOORNPOORT UIT 2,17,,PRETORIA
DOORNPOORT UIT 29,17,,DOORNPOORT
DOORNPOORT UIT 30,17,,DOORNPOORT
DOORNPOORT UIT 31,17,,DOORNPOORT
DOORNPOORT UIT 32,17,,DOORNPOORT
DOORNPOORT UIT 33,17,,DOORNPOORT
DOORNPOORT UIT 34,17,,DOORNPOORT
DOORNPOORT UIT 6,17,,DOORNPOORT
DORANDIA,188,182,PRETORIA
DORANDIA EXT 10,,182,PRETORIA NORTH
DORANDIA EXT 11,,182,PRETORIA NORTH
DORANDIA EXT 13,,182,PRETORIA NORTH
DORANDIA EXT 15,,182,PRETORIA NORTH
DORANDIA EXT 2,,182,PRETORIA NORTH
DORANDIA EXT 4,,182,PRETORIA NORTH
DORANDIA EXT 5,,182,PRETORIA NORTH
DORANDIA EXT 6,,182,PRETORIA NORTH
DORANDIA EXT 7,,182,PRETORIA NORTH
DORANDIA EXT 8,,182,PRETORIA NORTH
DORANDIA EXT 9,,182,PRETORIA NORTH
DORANDIA UIT 10,,182,PRETORIA-NOORD
DORANDIA UIT 11,,182,PRETORIA-NOORD
DORANDIA UIT 13,,182,PRETORIA-NOORD
DORANDIA UIT 15,,182,PRETORIA-NOORD
DORANDIA UIT 2,,182,PRETORIA-NOORD
DORANDIA UIT 4,,182,PRETORIA-NOORD
DORANDIA UIT 5,,182,PRETORIA-NOORD
DORANDIA UIT 6,,182,PRETORIA-NOORD
DORANDIA UIT 7,,182,PRETORIA-NOORD
DORANDIA UIT 8,,182,PRETORIA-NOORD
DORANDIA UIT 9,,182,PRETORIA-NOORD
DORBANK,,6625,OUDTSHOORN
DORCHESTER HEIGHTS,,5241,EAST LONDON
DORDRECHT,5435,5435,-
DORHILL EST,,7130,SOMERSET WEST
DORING BAY,8151,,VREDENDAL
DORINGBAAI,8151,,VREDENDAL
DORINGKLOOF,,157,CENTURION
DORINGKOP,4455,4449,STANGER
DORINGKRUIN,2576,,KLERKSDORP
DORMEHLSDRIFT,,6529,GEORGE
DORMERTON,4015,4091,DURBAN
DORPSIG,,6705,ROBERTSON
DORPSPRUIT,3206,3201,PIETERMARITZBURG
DOSSET,3000,,DUNDEE
DOTYENI,5400,,TSOMO
DOUBLE FALLS,5160,,LIBODE
DOUGLAS,8730,8730,-
DOUGLASDALE,2165,,BRYANSTON
DOUGLASDALE,2021,,JOHANNESBURG
DOUGLASDALE EXT,2021,,BRYANSTON
DOUGLASDALE EXT 13,2055,,BRYANSTON
DOUGLASDALE EXT 16,2055,,BRYANSTON
DOUGLASDALE EXT 18,2060,,BRYANSTON
DOUGLASDALE EXT 24,2055,,BRYANSTON
DOUGLASDALE EXT 4,2152,,JOHANNESBURG
DOUGLASDALE EXT 9,2060,,BRYANSTON
DOUGLASDALE UIT,2021,,BRYANSTON
DOUGLASDALE UIT 13,2055,,BRYANSTON
DOUGLASDALE UIT 16,2055,,BRYANSTON
DOUGLASDALE UIT 18,2060,,BRYANSTON
DOUGLASDALE UIT 24,2055,,BRYANSTON
DOUGLASDALE UIT 4,2152,,JOHANNESBURG
DOUGLASDALE UIT 9,2060,,BRYANSTON
DOVEHOUSE,,3610,GILLITTS
DOWERGLEN,1612,1609,EDENVALE
DOWERGLEN EXT 1,,1609,EDENVALE
DOWERGLEN EXT 2,,1609,EDENVALE
DOWERGLEN EXT 3,,1609,EDENVALE
DOWERGLEN EXT 4,,1609,EDENVALE
DOWERGLEN EXT 5,,1609,EDENVALE
DOWERGLEN EXT 7,,1609,EDENVALE
DOWERGLEN EXT 9,,1609,EDENVALE
DOWERGLEN UIT 1,,1609,EDENVALE
DOWERGLEN UIT 2,,1609,EDENVALE
DOWERGLEN UIT 3,,1609,EDENVALE
DOWERGLEN UIT 4,,1609,EDENVALE
DOWERGLEN UIT 5,,1609,EDENVALE
DOWERGLEN UIT 7,,1609,EDENVALE
DOWERGLEN UIT 9,,1609,EDENVALE
DOWERVILLE,,6059,PORT ELIZABETH
DR BRAUN,,6229,UITENHAGE
DR BRAUN TSP,,6229,UITENHAGE
DRAAIFONTEIN,6017,,HUNTER'S RETREAT
DRAAIKRAAL,1112,,WITBANK
DRAEGER PLACE,4019,,DURBAN NORTH
DRAGON PEAKS,3331,,WINTERTON
DRAKENSBURG,1764,,KOCKSVLEI
DRAKENSBURG GARDEN,3340,,WINTERTON
DRAYCOTT,3312,,ESTCOURT
DREW,6741,,BONNIEVALE
DREYERSDAL EST,,7945,BERGVLIET
DRIE RIVIERE,1935,1929,VEREENIGING
DRIE RIVIERE UIT,,1929,VEREENIGING
DRIE RIVIERE-OOS,1941,,VEREENIGING
DRIEANKERBAAI,,8005,KAAPSTAD
DRIEFONTEIN,3370,,LADYSMITH
DRIEFONTEIN,1747,,MULDERSDRIF
DRIEFONTEIN,2302,,SECUNDA
DRIEHOEK,,1401,GERMISTON
DRIEKOP,1129,,-
DRIEKOPPIES,617,,REBONE
DRIEZIEK,1805,1805,ORANGE FARM
DRIFTSAND,,7100,EERSTE RIVIER
DRIFTSAND,,7100,EERSTERIVIER
DRIFTSANDS,,7100,EERSTE RIVER
DRIFTSANDS,6000,,PORT ELIZABETH
DRIVER'S DRIFT,5417,,LADY FRERE
DROOGEFONTEIN,2211,,SUNDRA
DROSTDY PARK,,7580,KUILS RIVER
DROSTE PARK,,2094,JOHANNESBURG
DROSTE PARK EXT 1,,2094,JOHANNESBURG
DROSTE PARK UIT 1,,2094,JOHANNESBURG
DRUIWEVLEI,,7764,MANENBERG
DRUMBLAIR,,7945,TOKAI
DRUMMOND,3626,,PINETOWN
DRUSANA,9311,,BLOEMFONTEIN
DRY HARTS,8588,,TAUNG STA
DRYFSAND,8294,,ALEXANDER BAY
DUBE,1800,1801,-
DUBE HOSTEL,,1852,MEADOWLANDS
DUBE VILLAGE,,1801,DUBE
DUBE VILLAGE,,4309,INANDA
DUCK POND VILLAGE,,7140,STRAND
DUDUDU,4190,,-
DUDUZA,1494,1496,NIGEL
DUDUZA EXT,1497,,GERMISTON
DUDUZA UIT,1497,,GERMISTON
DUFF'S ROAD,,4051,DURBAN NORTH
DUFFIELD,,2740,LICHTENBURG
DUFFWEG,,4051,DURBAN-NOORD
DUINEFONTEIN,,7764,MANENBERG
DUINENDAL,,7140,STRAND
DUIWELSKLOOF,835,835,-
DUIWELSKOP,,8001,KAAPSTAD
DUKATHOLE,9752,9750,ALIWAL NORTH
DUKATHOLE,1411,,GERMISTON
DUKUDUKU,3883,,-
DUKUDUKU,3936,,ST LUCIA ESTUARY
DUKUZA,3350,,BERGVILLE
DULCIES NEK,9766,,-
DULLSTROOM,1110,,-
DUMABENSHIYA,4821,,-
DUMBE,3182,,-
DUMPHRIES,1369,,THULAMAHASHE
DUNCANVILLE,,1939,VEREENIGING
DUNCANVILLE EXT 1,,1939,VEREENIGING
DUNCANVILLE EXT 3,,1939,VEREENIGING
DUNCANVILLE UIT 1,,1939,VEREENIGING
DUNCANVILLE UIT 3,,1939,VEREENIGING
DUNDEE,3000,3000,DUNDEE
DUNDONALD,2336,,ERMELO
DUNDONALD EXT 2,,2336,DUNDONALD
DUNDONALD UIT 2,,2336,DUNDONALD
DUNGU,5090,,MOUNT FRERE
DUNHILL,,2192,JOHANNESBURG
DUNKELD,,2196,JOHANNESBURG
DUNKELD WEST,,2196,JOHANNESBURG
DUNKELD WEST EXT 1,,2196,JOHANNESBURG
DUNKELD WEST EXT 2,,2196,JOHANNESBURG
DUNKELD WEST EXT 27,,2196,JOHANNESBURG
DUNKELD WEST EXT 46,,2196,JOHANNESBURG
DUNKELD WEST EXT 5,,2196,JOHANNESBURG
DUNKELD WEST EXT 6,,2196,JOHANNESBURG
DUNKELD WEST EXT 7,,2196,JOHANNESBURG
DUNKELD WEST EXT 8,,2196,JOHANNESBURG
DUNKELD WEST UIT 2,,2196,JOHANNESBURG
DUNKELD WEST UIT 27,,2196,JOHANNESBURG
DUNKELD WEST UIT 46,,2196,JOHANNESBURG
DUNKELD WEST UIT 5,,2196,JOHANNESBURG
DUNKELD WEST UIT 6,,2196,JOHANNESBURG
DUNKELD WEST UIT 7,,2196,JOHANNESBURG
DUNKELD WEST UIT 8,,2196,JOHANNESBURG
DUNKELD-WES,,2196,JOHANNESBURG
DUNKELD-WES UIT 1,,2196,JOHANNESBURG
DUNMADELEY,,1459,BOKSBURG
DUNNOTTAR,1590,1496,NIGEL
DUNOON,,7441,MILNERTON
DUNSEVERN,,2090,JOHANNESBURG
DUNSWART,1508,,BENONI
DUNUSA,1916,,VANDERBIJLPARK
DUNVEGAN,,1609,EDENVALE
DUNVERIA,,3201,PIETERMARITZBURG
DURBAN,4000,4001,DURBAN
DURBAN DEEP,,1724,ROODEPOORT
DURBAN INTERNASIONALE LUGHAWE,4029,,DURBAN
DURBAN INTERNATIONAL AIRPORT,4029,,DURBAN
DURBAN NORTH,4016,4051,DURBAN
DURBAN-NOORD,4016,4051,DURBAN
DURBANVILLE,7551,7550,CAPE TOWN
DURBANVILLE HILLS,,7550,DURBANVILLE
DURBELL,,7550,DURBANVILLE
DURMAIL,4002,,-
DURMONTE,,7550,DURBANVILLE
DURNACOL,3082,,NEWCASTLE
DURRHEIGHTS,5000,,IDUTYWA
DURRHEIM,7491,7490,MATROOSFONTEIN
DUTYINI,4737,,MOUNT AYLIFF
DUTYINI,5130,,TABANKULU
DUVHA PARK,,1034,WITBANK
DUXBERRY,2149,,JOHANNESBURG
DUXBERRY EXT 1,2149,,JOHANNESBURG
DUXBERRY UIT 1,2149,,JOHANNESBURG
DUYNEFONTEIN,,7441,MELKBOSSTRAND
DWAALBOOM,319,,THABAZIMBI
DWARS RIVER,812,812,PIETERSBURG
DWARSBERG,2857,,MAFIKENG
DWARSKLOOF,,1759,RANDFONTEIN
DWARSRIVIER,812,812,PIETERSBURG
DWESHULA,4247,,PORT SHEPSTONE
DYASONSKLIP,8805,,UPINGTON
DYSSELSDORP,6628,6628,OUDTSHOORN
DZANANI,955,955,SIBASA
DZIMAULI,975,975,SIBASA
DZUMERI,833,,MALAMULELE
EAGLE PARK,,7941,GRASSY PARK
EAGLE'S NEK,4960,,BUTTERWORTH
EAGLE'S NEST,,7806,CONSTANTIA
EARLSFIELD,,4037,MARBLE RAY
EAST BANK,,2090,JOHANNESBURG
EAST DRIEFONTEIN,2509,2499,CARLETONVILLE
EAST END,9300,9300,BLOEMFONTEIN
EAST END,4018,,DURBAN
EAST GEDULD,1568,1559,SPRINGS
EAST HAVEN,,7945,RETREAT
EAST LONDON,5200,5201,-
EAST LYNNE,,186,PRETORIA
EAST LYNNE EXT 2,,186,PRETORIA
EAST LYNNE UIT 2,,186,PRETORIA
EAST PARK,,1754,KAGISO
EAST PARK EXT 2,,1754,KAGISO
EAST PARK EXT 5,,1754,KAGISO
EAST PARK UIT 2,,1754,KAGISO
EAST PARK UIT 5,,1754,KAGISO
EAST QUEENSBURGH,,4093,QUEENSBURGH
EAST RAND,1462,,BOKSBURG
EAST ROCK,,7550,DURBANVILLE
EAST TOWN,,2195,JOHANNESBURG
EAST VILLAGE,,1459,BOKSBURG
EASTBOURNE FARM,2952,,OSIZWENI
EASTBURY,,4068,PHOENIX
EASTBURY PARK,4158,,PHOENIX
EASTCLIFF,,7200,HERMANUS
EASTCLIFF,,2190,JOHANNESBURG
EASTDENE,1050,,MIDDELBURG
EASTERN EXTENSION,,6529,GEORGE
EASTFIELD,,1475,RUSLOO
EASTFIELD EXT 10,,1475,RUSLOO
EASTFIELD EXT 16,,1475,RUSLOO
EASTFIELD EXT 23,,1475,RUSLOO
EASTFIELD UIT 10,,1475,RUSLOO
EASTFIELD UIT 16,,1475,RUSLOO
EASTFIELD UIT 23,,1475,RUSLOO
EASTGATE,2103,,JOHANNESBURG
EASTGATE EXT,2148,,JOHANNESBURG
EASTGATE EXT 11,2148,,JOHANNESBURG
EASTGATE EXT 12,2148,,JOHANNESBURG
EASTGATE EXT 13,2148,,JOHANNESBURG
EASTGATE EXT 18,2148,,JOHANNESBURG
EASTGATE EXT 3,2148,,JOHANNESBURG
EASTGATE EXT 4,2148,,JOHANNESBURG
EASTGATE EXT 6,2148,,JOHANNESBURG
EASTGATE EXT 8,2148,,JOHANNESBURG
EASTGATE EXT 9,2148,,JOHANNESBURG
EASTGATE UIT,2148,,JOHANNESBURG
EASTGATE UIT 11,2148,,JOHANNESBURG
EASTGATE UIT 12,2148,,JOHANNESBURG
EASTGATE UIT 13,2148,,JOHANNESBURG
EASTGATE UIT 18,2148,,JOHANNESBURG
EASTGATE UIT 3,2148,,JOHANNESBURG
EASTGATE UIT 4,2148,,JOHANNESBURG
EASTGATE UIT 6,2148,,JOHANNESBURG
EASTGATE UIT 8,2148,,JOHANNESBURG
EASTGATE UIT 9,2148,,JOHANNESBURG
EASTLAKE,,7945,MUIZENBERG
EASTLAKE ISLAND,,7945,MUIZENBERG
EASTLAKE VILLAGE,,7945,MUIZENBERG
EASTLEIGH,,1609,EDENVALE
EASTRIDGE,,7785,MITCHELLS PLAIN
EASTVALE,1558,1559,SPRINGS
EASTWOLDS,3241,,DONNYBROOK
EASTWOOD,,3201,PIETERMARITZBURG
EASTWOOD,,83,PRETORIA
EATONSIDE,1904,,VANDERBIJLPARK
EBENDE,5000,,IDUTYWA
EBENHAESER,8149,,LUTZVILLE
EBHOTWE,5040,,WILLOWVALE
EBILANYONI,3185,,PAULPIETERSBURG
EBONY PARK,1690,,HALFWAY HOUSE
EBONY PARK EXT 4,1690,,HALFWAY HOUSE
EBONY PARK UIT 4,1690,,HALFWAY HOUSE
ECHIBINI,3242,,OZWATINI
EDELWEISS,1577,1559,SPRINGS
EDELWEISS EXT,,1559,SPRINGS
EDELWEISS EXT 1,,1559,SPRINGS
EDELWEISS EXT 3,,1559,SPRINGS
EDELWEISS EXT 6,,1559,SPRINGS
EDELWEISS UIT,,1559,SPRINGS
EDELWEISS UIT 1,,1559,SPRINGS
EDELWEISS UIT 3,,1559,SPRINGS
EDELWEISS UIT 6,,1559,SPRINGS
EDEN GEORGE,,6529,GEORGE
EDEN GLEN EXT 1,,1609,EDENVALE
EDEN GLEN EXT 11,,1609,EDENVALE
EDEN GLEN EXT 12,,1609,EDENVALE
EDEN GLEN EXT 13,,1609,EDENVALE
EDEN GLEN EXT 14,,1609,EDENVALE
EDEN GLEN EXT 15,,1609,EDENVALE
EDEN GLEN EXT 18,,1609,EDENVALE
EDEN GLEN EXT 19,,1609,EDENVALE
EDEN GLEN EXT 2,,1609,EDENVALE
EDEN GLEN EXT 20,,1609,EDENVALE
EDEN GLEN EXT 21,,1609,EDENVALE
EDEN GLEN EXT 24,,1609,EDENVALE
EDEN GLEN EXT 29,,1609,EDENVALE
EDEN GLEN EXT 3,,1609,EDENVALE
EDEN GLEN EXT 30,,1609,EDENVALE
EDEN GLEN EXT 35,,1609,EDENVALE
EDEN GLEN EXT 36,,1609,EDENVALE
EDEN GLEN EXT 38,,1609,EDENVALE
EDEN GLEN EXT 4,,1609,EDENVALE
EDEN GLEN EXT 40,,1609,EDENVALE
EDEN GLEN EXT 5,,1609,EDENVALE
EDEN GLEN EXT 51,,1609,EDENVALE
EDEN GLEN EXT 55,,1609,EDENVALE
EDEN GLEN EXT 59,,1609,EDENVALE
EDEN GLEN EXT 6,,1609,EDENVALE
EDEN GLEN EXT 60,,1609,EDENVALE
EDEN GLEN EXT 8,,1609,EDENVALE
EDEN GLEN UIT 1,,1609,EDENVALE
EDEN GLEN UIT 11,,1609,EDENVALE
EDEN GLEN UIT 12,,1609,EDENVALE
EDEN GLEN UIT 13,,1609,EDENVALE
EDEN GLEN UIT 14,,1609,EDENVALE
EDEN GLEN UIT 15,,1609,EDENVALE
EDEN GLEN UIT 18,,1609,EDENVALE
EDEN GLEN UIT 19,,1609,EDENVALE
EDEN GLEN UIT 2,,1609,EDENVALE
EDEN GLEN UIT 20,,1609,EDENVALE
EDEN GLEN UIT 21,,1609,EDENVALE
EDEN GLEN UIT 24,,1609,EDENVALE
EDEN GLEN UIT 29,,1609,EDENVALE
EDEN GLEN UIT 3,,1609,EDENVALE
EDEN GLEN UIT 30,,1609,EDENVALE
EDEN GLEN UIT 35,,1609,EDENVALE
EDEN GLEN UIT 36,,1609,EDENVALE
EDEN GLEN UIT 38,,1609,EDENVALE
EDEN GLEN UIT 4,,1609,EDENVALE
EDEN GLEN UIT 40,,1609,EDENVALE
EDEN GLEN UIT 5,,1609,EDENVALE
EDEN GLEN UIT 51,,1609,EDENVALE
EDEN GLEN UIT 55,,1609,EDENVALE
EDEN GLEN UIT 59,,1609,EDENVALE
EDEN GLEN UIT 6,,1609,EDENVALE
EDEN GLEN UIT 60,,1609,EDENVALE
EDEN GLEN UIT 8,,1609,EDENVALE
EDEN PARK,1455,1458,ALBERTON
EDEN PARK,,1034,WITBANK
EDEN PARK UIT 1,,1458,ALBERTON
EDEN STORE,4260,,IZINGOLWENI
EDENBURG,9908,9908,-
EDENBURG,2128,,JOHANNESBURG
EDENDALE,,1609,EDENVALE
EDENDALE,3217,3201,PIETERMARITZBURG
EDENGLEN,1613,1609,EDENVALE
EDENHILL,,1609,EDENVALE
EDENHOOGTE,9908,9908,EDENBURG
EDENPARK EXT 1,,1458,ALBERTON
EDENVALE,1610,1609,GAUTENG
EDENVALE EXT 1,,1609,EDENVALE
EDENVALE UIT 1,,1609,EDENVALE
EDENVILLE,9535,,FREE STATE
EDGEMEAD,7407,7441,CAPE TOWN
EDLEEN,1625,1619,KEMPTON PARK
EDLEEN EXT 1,,1619,KEMPTON PARK
EDLEEN EXT 13,,1619,KEMPTON PARK
EDLEEN EXT 3,,1619,KEMPTON PARK
EDLEEN EXT 5,,1619,KEMPTON PARK
EDLEEN UIT 1,,1619,KEMPTON PARK
EDLEEN UIT 13,,1619,KEMPTON PARK
EDLEEN UIT 3,,1619,KEMPTON PARK
EDLEEN UIT 5,,1619,KEMPTON PARK
EDNESS,5130,,TABANKULU
EDONQABA,5609,5601,KING WILLIAMS TOWN
EDRAYINI,3010,,TUGELA FERRY
EDUAN PARK,,699,PIETERSBURG
EDUWIN,1415,,GERMISTON
EDWARD ROAD,4270,,UVONGO
EENDEKUIL,7335,,PIKETBERG
EENDRAG,2266,2266,EVANDER
EENSAAM,1059,,-
EERSTE RIVER,7103,7100,CAPE TOWN
EERSTEGOUD,701,,PIETERSBURG
EERSTEMYN,9466,9459,WELKOM
EERSTERIVIER,7103,7100,KAAPSTAD
EERSTERUS,401,,-
EERSTERUS,21,22,PRETORIA
EERSTERUS EXT 4,,22,EERSTERUS
EERSTERUS EXT 5,,22,EERSTERUS
EERSTERUS EXT 6,,22,EERSTERUS
EERSTERUS UIT 4,,22,EERSTERUS
EERSTERUS UIT 5,,22,EERSTERUS
EERSTERUS UIT 6,,22,EERSTERUS
EFAYE,3236,,DALTON
EFFINGHAM HEIGHTS,,4051,DURBAN NORTH
EGAGASINI,3972,,MKUZE
EGOSO,5050,,ENGCOBO
EGUGWINI,4310,,INANDA
EHASHINI,3226,,ELANDSKOP
EHEWU,5362,,WHITTLESEA
EHRLICHPARK,9312,9301,BLOEMFONTEIN
EIKEFONTEIN,7571,7570,KRAAIFONTEIN
EIKENBOSCH,,7530,BELLVILLE
EIKENDAL,,7570,KRAAIFONTEIN
EIKENHOF,1872,,MEYERTON
EIKEPARK,,1759,RANDFONTEIN
EILAND,885,,-
EINDHOVEN,,7100,EERSTE RIVER
EISLEBEN,818,,PIETERSBURG
EKA HOMU,831,,MALAMULELE
EKANDUSTRIA,1028,,BRONKHORSTSPRUIT
EKANGALA,1021,1021,BRONKHORSTSPRUIT
EKANGALA EXT A,,1021,EKANGALA
EKANGALA EXT B,,1021,EKANGALA
EKANGALA EXT C,,1021,EKANGALA
EKANGALA EXT D,,1021,EKANGALA
EKANGALA EXT E,,1021,EKANGALA
EKANGALA EXT F,,1021,EKANGALA
EKANGALA EXT G,,1021,EKANGALA
EKANGALA UIT A,,1021,EKANGALA
EKANGALA UIT B,,1021,EKANGALA
EKANGALA UIT C,,1021,EKANGALA
EKANGALA UIT D,,1021,EKANGALA
EKANGALA UIT E,,1021,EKANGALA
EKANGALA UIT F,,1021,EKANGALA
EKANGALA UIT G,,1021,EKANGALA
EKHWEZENI HOSTEL,1435,,KATLEHONG EXT
EKKLESIA,,186,PRETORIA
EKKLESIA EXT 1,,186,PRETORIA
EKKLESIA EXT 3,,186,LYNN EAST
EKKLESIA UIT 1,,186,PRETORIA
EKKLESIA UIT 3,,186,LYNN EAST
EKSTEENFONTEIN,8284,,PORT NOLLOTH
EKUKHANYENI,3857,,MELMOTH
EKULINDENI,1301,,BELFAST
EKUMANAZENI,4310,,INANDA
EKUPHAKAMENI,4310,4309,INANDA
EKUPHULENI,6191,,KENTON ON SEA
EKUPHUMLENI,,7784,KHAYELITSHA
EKUPHUMLENI,3242,,OZWATINI
EKUPHUMLENI,,5360,WHITTLESEA
EKUTHULENI,4103,,-
EKUVUKENI,3383,,-
EKUVUKENI 1,2920,,WASBANK
EKWENDENI,3020,,POMEROY
ELANDIA,,2571,KLERKSDORP
ELANDIA,,9499,KROONSTAD
ELANDS BAY,8110,,PIKETBERG
ELANDSBAAI,8110,,PIKETBERG
ELANDSDORING,485,,GROBLERSDAL
ELANDSDRIF,1747,,MULDERSDRIF
ELANDSFONTEIN,1406,1429,GERMISTON
ELANDSFONTEIN RAIL,,1429,ELANDSFONTEIN
ELANDSFONTEIN SPOOR,,1429,ELANDSFONTEIN
ELANDSGOUD,2508,,CARLETONVILLE
ELANDSHAVEN,,1449,ALBERTON
ELANDSHAVEN,,1429,ELANDSFONTEIN
ELANDSHAVEN EXT 3,,1429,ELANDSFONTEIN
ELANDSHAVEN UIT 3,,1429,ELANDSFONTEIN
ELANDSHEUWEL,,2571,KLERKSDORP
ELANDSHOEK,1208,,NELSPRUIT
ELANDSHOOGTE,5480,,MACLEAR
ELANDSKOP,3226,,PIETERMARITZBURG
ELANDSKRAAL,3017,,DUNDEE
ELANDSLAAGTE,2900,,LADYSMITH
ELANDSPARK,,2197,JOHANNESBURG
ELANDSPOORT,32,183,PRETORIA
ELANDSRAND,,250,BRITS
ELANGENI,,6506,MOSSELBAY
ELARDUSPARK,47,181,PRETORIA
ELARDUSPARK EXT 1,,181,WATERKLOOF
ELARDUSPARK EXT 11,,181,WATERKLOOF
ELARDUSPARK EXT 2,,181,WATERKLOOF
ELARDUSPARK EXT 3,,181,WATERKLOOF
ELARDUSPARK EXT 4,,181,WATERKLOOF
ELARDUSPARK EXT 5,,181,WATERKLOOF
ELARDUSPARK EXT 6,,181,WATERKLOOF
ELARDUSPARK EXT 7,,181,WATERKLOOF
ELARDUSPARK EXT 9,,181,WATERKLOOF
ELARDUSPARK UIT 1,,181,WATERKLOOF
ELARDUSPARK UIT 11,,181,WATERKLOOF
ELARDUSPARK UIT 2,,181,WATERKLOOF
ELARDUSPARK UIT 3,,181,WATERKLOOF
ELARDUSPARK UIT 4,,181,WATERKLOOF
ELARDUSPARK UIT 5,,181,WATERKLOOF
ELARDUSPARK UIT 6,,181,WATERKLOOF
ELARDUSPARK UIT 7,,181,WATERKLOOF
BUFFELJAGS RIVER,6742,,SWELLENDAM
BUFFELJAGSRIVIER,6742,,SWELLENDAM
BUFFELS BOSCH,,4093,SHALLCROSS
BUFFELS BOSCH EXT 4,,4093,QUEENSBURGH
BUFFELS BOSCH UIT 4,,4093,QUEENSBURGH
BUFFELS RIVER,8251,,SPRINGBOK
BUFFELSDALE,4401,4399,TONGAAT
BUFFELSDORING,5420,,DORDRECHT
BUFFELSPOORT,284,,MARIKANA
BUFFELSPRUIT,1331,,SHONGWE MISSION
BUFFELSRIVIER,8251,,SPRINGBOK
BUHLANYANGA,4820,,LUSIKISIKI
BUHLE PARK,1484,,ALRODE
BUHLEBENDABUKO,3960,,HLUHLUWE
BUHLEBUYEZA,4220,,HIBBERDENE
BUHRMANNSDRIF,2867,2867,ZEERUST
BUITENDAG,,9744,BURGERSDORP
BUITENZORG VILLAGE,,7441,TABLE VIEW
BUITENZORGDORP,,7441,TABLE VIEW
BUITESIG,,9301,BLOEMFONTEIN
BUKAZI,4810,,FLAGSTAFF
BUKIMVELO,3960,,HLUHLUWE
BULAWA,5160,,LIBODE
BULGERIVIER,531,,ELLISRAS
BULL HILL,8535,,JAN KEMPDORP
BULLETRAP,8260,,-
BULTFONTEIN,9670,9670,-
BULTFONTEIN,120,,PYRAMID
BULTFONTEIN 1,9783,,THABA NCHU
BULTFONTEIN 2,9783,,THABA NCHU
BULTFONTEIN 3,9783,,THABA NCHU
BULTFONTEIN 4,9783,,THABA NCHU
BULTHOUDERSIG,,6970,BEAUFORT WEST
BULTIES EST,,7130,SOMERSET WEST
BULWER,,4001,DURBAN
BULWER,3244,,HOWICK
BULWER FARM,4450,4449,STANGER
BULWOOD,,4001,DURBAN
BUMAZI,4810,,FLAGSTAFF
BUNGENI,960,,-
BUNGENI,4813,,FLAGSTAFF
BUNKERS HILL,,5241,EAST LONDON
BUNTINGVILLE,5115,,UMTATA
BUQA,897,,GAKGAPANE
BURBREEZE,4380,4399,MAIDSTONE
BURFORD,3370,,LADYSMITH
BURGERSDORP,9744,9744,-
BURGERSDORP,,2092,JOHANNESBURG
BURGERSDORP,,2740,LICHTENBURG
BURGERSDORP,850,,TZANEEN
BURGERSFORT,1150,,-
BURGERSHOOP,,1739,KRUGERSDORP
BURLINGTON GARDENS,,4093,QUEENSBURGH
BURLINGTON HEIGHTS,,4093,QUEENSBURGH
BURMANSDRIF,,4093,QUEENSBURGH
BURNHOLME,,6705,ROBERTSON
BURNSHILL,5688,,EAST LONDON
BURNSIDE,,4319,UMHLANGA ROCKS
BUSHBUCKRIDGE,1280,,-
BUSHHILL,2154,,JOHANNESBURG
BUSHKOPPIES,1811,,ELDORADOPARK
BUSHLANDS,,4052,DURBAN
BUSHMANS RIVER MOUTH,6190,,-
BUSYBEES,5090,,MOUNT FRERE
BUTHI,469,,SIYABUSWA
BUTTERWORTH,4960,4960,-
BUTTERWORTH EXT 14,,4961,MSOBOMVU
BUTTERWORTH EXT 2,,4960,BUTTERWORTH
BUTTERWORTH EXT 24,,4960,BUTTERWORTH
BUTTERWORTH EXT 6,,4960,BUTTERWORTH
BUTTERWORTH EXT 7,,4960,BUTTERWORTH
BUTTERWORTH UIT 14,,4961,MSOBOMVU
BUTTERWORTH UIT 2,,4960,BUTTERWORTH
BUTTERWORTH UIT 24,,4960,BUTTERWORTH
BUTTERWORTH UIT 6,,4960,BUTTERWORTH
BUTTERWORTH UIT 7,,4960,BUTTERWORTH
BUTTERWORTHS,4043,,DURBAN
BUURENDAL,,1609,EDENVALE
BUURENDAL EXT 1,,1609,EDENVALE
BUURENDAL UIT 1,,1609,EDENVALE
BUXEDENI,3938,,NONGOMA
BUYAFUTHI HOSTEL,1435,,KATLEHONG EXT
BUYISONTO,1286,,BOSBOKRAND
